날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2023-05-04,108,21.4,15.6,25.8
2023-05-05,108,18.4,15.5,21.6
2023-05-06,108,12.6,11.7,15.5
2023-05-07,108,14.4,11.1,18.6
2023-05-08,108,15.3,7.9,22
2023-05-09,108,17,10,24.4
2023-05-10,108,18.4,10.7,26
2023-05-11,108,19.5,12.8,26.7
2023-05-12,108,18.4,13.1,24.7
2023-05-13,108,17.8,12.6,23.9
2023-05-14,108,18.1,12.9,23.8
2023-05-15,108,20.6,12.8,27.9
2023-05-16,108,24,17.2,31.2
2023-05-17,108,23.5,18.6,28.7
2023-05-18,108,21.2,18.8,27.6
2023-05-19,108,22.3,16.7,27.8
2023-05-20,108,21.2,16.6,26.7
2023-05-21,108,17.8,15.3,21.9
2023-05-22,108,20.3,15.9,26.8
2023-05-23,108,20.5,14.1,26.9
2023-05-24,108,20.6,14.8,25.9
2023-05-25,108,21.2,15.7,27.4
2023-05-26,108,21.4,15.8,27.3
2023-05-27,108,19.3,18.6,20.7
2023-05-28,108,19.2,18.4,20.2
2023-05-29,108,23.2,19,28.5
2023-05-30,108,24,20.5,28.9
2023-05-31,108,22.8,18.8,28.2
2023-06-01,108,22.8,19.7,26.3
2023-06-02,108,20.4,17.9,25
